Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,PerformanceIndex,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyAchievement,NumCompaniesWorked,Over18,OverTime,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HowToEmploy,Incentive,RemoteWork,MonthlyIncome,StressRating,WelfareBenefits,InHouseFacility,ExternalFacility,ExtendedLeave,FlexibleWork,StressSelfReported,Year
43,No,Travel_Rarely,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,21923,1,Y,8,2,4,40,2,6,3,2,5,3,1,4,intern,1776,3,5921,2,3,1,0,0,1,1,2024
50,Yes,Travel_Rarely,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,3810,1,Y,39,3,3,40,0,3,2,3,3,2,0,2,intern,0,2,6355,2,4,1,1,1,1,1,2023
35,No,Travel_Rarely,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,9687,1,Y,10,2,1,40,0,2,3,3,2,2,2,2,intern,1896,3,6321,2,4,1,1,1,1,1,2023
36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,13072,9,Y,0,3,4,40,1,6,3,4,1,1,0,0,intern,3857,2,8121,1,3,1,1,1,1,1,2023
33,No,Travel_Frequently,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,3193,2,Y,14,4,1,40,2,10,3,3,5,3,1,3,intern,547,2,2646,3,2,0,0,0,0,3,2023
35,No,Travel_Rarely,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,10910,1,Y,34,2,3,40,1,1,3,3,1,0,0,0,intern,1749,3,9161,3,1,0,0,0,0,2,2023
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,19715,1,Y,1,1,4,40,1,1,6,3,1,0,0,0,agent_B,0,1,8175,2,2,1,0,0,0,2,2023
26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,10558,1,Y,8,2,3,40,0,1,2,2,1,0,0,1,direct_recruiting,0,4,6815,4,1,0,0,0,0,4,2024
27,No,Travel_Frequently,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,2975,1,Y,6,2,4,40,0,9,0,3,9,8,1,7,agent_B,0,2,11317,2,3,1,0,0,0,2,2024
30,No,Travel_Frequently,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,10781,1,Y,11,4,4,40,0,12,2,3,12,8,3,7,intern,1207,4,9574,2,3,0,0,0,1,2,2023
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,16280,1,Y,18,2,4,40,0,23,0,3,22,15,15,8,intern,0,3,2317,4,1,0,0,0,0,3,2024
34,No,Non-Travel,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,10034,0,Y,7,4,3,40,0,10,2,3,9,5,8,7,intern,548,5,9486,2,4,1,1,1,1,3,2023
37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,10227,4,Y,35,4,1,40,0,8,1,3,1,0,0,0,intern,2886,3,5773,3,2,0,0,0,1,2,2023
46,No,Travel_Frequently,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,20445,4,Y,23,4,3,40,0,14,4,3,9,6,0,8,intern,4867,4,9734,3,2,1,0,0,0,3,2023
35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,4892,1,Y,12,3,4,40,0,1,2,3,1,0,0,1,agent_B,1264,4,2663,1,4,1,1,1,1,1,2023
48,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,19294,9,Y,1,1,4,40,0,23,2,3,1,0,0,0,agent_B,0,1,7836,2,3,1,1,1,1,2,2023
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,11179,1,Y,0,2,3,40,0,2,3,2,2,2,2,2,intern,0,2,9119,2,2,1,0,0,0,5,2023
44,No,Travel_Rarely,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,4009,5,Y,30,3,3,40,1,9,2,2,4,3,1,3,agent_C,0,1,11563,3,1,0,0,1,0,3,2024
35,No,Non-Travel,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,8302,2,Y,8,2,3,40,1,10,3,3,4,0,2,3,intern,0,3,4761,2,4,1,1,1,1,4,2023
26,No,Travel_Rarely,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,21436,7,Y,38,4,3,40,1,5,2,2,2,2,0,0,intern,2488,5,4976,2,3,0,0,0,1,2,2023
33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,15146,1,Y,0,2,3,40,0,15,1,3,15,14,8,12,intern,0,2,3692,3,2,0,0,0,0,1,2023
35,No,Travel_Frequently,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,11031,1,Y,22,4,4,40,1,9,3,2,9,8,1,8,agent_A,1441,3,9590,3,2,0,0,0,0,3,2023
35,No,Travel_Rarely,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,16002,3,Y,1,3,3,40,1,4,3,3,2,2,2,2,intern,2744,3,5778,4,3,1,0,0,1,2,2024
31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,9528,3,Y,25,4,4,40,1,10,3,2,7,7,1,7,intern,1862,5,7666,2,4,1,1,0,1,3,2023
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,2689,1,Y,3,3,3,40,1,7,2,4,7,5,0,7,agent_B,0,3,7875,2,2,1,0,0,0,1,2023
32,No,Travel_Rarely,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,10877,1,Y,22,4,2,40,1,9,3,3,9,8,7,8,New_graduate_recruitment,2506,5,5012,3,1,0,0,0,0,1,2023
38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,5456,1,Y,33,1,4,40,0,10,2,3,10,3,9,9,direct_recruiting,0,5,8293,3,3,0,0,0,1,2,2024
50,No,Travel_Rarely,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,16701,5,Y,25,2,4,40,1,29,2,2,27,3,13,8,intern,2084,2,6949,3,2,0,0,1,0,3,2024
59,No,Travel_Rarely,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,2354,7,Y,16,1,4,40,0,28,3,2,21,16,7,9,intern,0,3,7031,3,1,0,0,0,0,4,2023
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,8202,1,Y,12,2,2,40,3,17,2,3,17,14,12,8,intern,1383,2,4611,2,3,1,0,0,1,3,2023
55,No,Travel_Rarely,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,19730,2,Y,19,3,3,40,3,21,2,3,5,0,0,2,intern,1744,3,3672,2,1,0,0,0,0,2,2023
36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,22656,1,Y,23,2,3,40,0,6,3,3,6,5,0,3,agent_A,2454,2,8181,3,1,0,0,0,0,1,2023
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,18787,2,Y,6,3,3,40,1,25,2,3,1,0,0,0,agent_C,3222,1,6784,3,1,0,0,0,0,2,2024
35,No,Travel_Frequently,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,5868,4,Y,23,2,4,40,1,5,2,2,3,2,1,2,intern,0,1,8676,3,2,0,0,0,0,3,2023
36,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,21777,0,Y,20,3,1,40,1,2,0,2,1,0,0,0,New_graduate_recruitment,4585,2,11464,2,3,1,0,1,1,2,2024
59,No,Travel_Frequently,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,24668,7,Y,12,1,4,40,0,20,2,2,4,3,1,3,agent_B,0,1,5429,3,1,0,0,0,0,3,2023
29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,4956,0,Y,28,4,4,40,1,6,3,3,5,4,0,4,agent_C,0,3,5530,2,4,1,1,1,1,2,2023
31,No,Travel_Rarely,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,18775,1,Y,0,3,2,40,0,1,4,3,1,1,1,0,intern,5244,1,11040,2,1,1,0,0,0,3,2023
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2,Married,7346,1,Y,12,3,2,40,2,10,3,3,10,4,0,9,intern,0,3,8264,4,2,0,0,0,0,4,2023
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,Married,22002,3,Y,19,2,2,40,0,5,3,3,1,0,0,0,direct_recruiting,1755,4,5850,3,2,0,0,0,1,3,2023
31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Divorced,20682,1,Y,12,4,4,40,0,11,2,3,11,7,1,8,intern,0,5,7715,2,3,1,1,0,1,3,2023
35,No,Travel_Rarely,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,23016,0,Y,24,3,2,40,0,16,2,3,15,13,2,8,intern,0,2,4525,2,4,1,1,0,1,1,2023
45,No,Travel_Rarely,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,15067,4,Y,8,3,2,40,0,17,3,4,0,0,0,0,agent_A,3973,1,8366,2,1,0,0,0,0,1,2023
37,No,Travel_Rarely,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,25258,4,Y,7,2,1,40,0,16,3,4,5,2,0,2,intern,0,3,8639,3,1,0,0,0,0,2,2024
46,No,Travel_Rarely,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,10425,8,Y,13,4,4,40,1,16,2,3,4,2,0,2,New_graduate_recruitment,3098,3,6197,3,2,0,0,0,0,2,2023
30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,15998,1,Y,31,2,3,40,2,10,1,2,10,8,3,0,intern,0,2,6652,2,4,1,0,1,1,1,2023
35,No,Travel_Rarely,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,Single,26278,1,Y,0,3,1,40,0,6,3,3,6,4,0,4,agent_A,1532,4,3227,2,3,0,1,0,0,1,2024
55,No,Travel_Rarely,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,18092,3,Y,20,3,4,40,1,24,4,3,1,0,1,0,intern,1802,3,3794,2,3,1,0,0,1,2,2023
38,No,Non-Travel,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,15717,7,Y,6,1,4,40,3,17,3,3,13,11,1,9,agent_B,0,3,6540,2,4,1,1,1,1,3,2024
34,No,Travel_Rarely,Research & Development,1,2,Medical,1,110,1,Male,94,3,2,Manufacturing Director,2,Married,17736,1,Y,21,3,3,40,0,5,2,3,5,2,1,3,intern,3071,2,6466,3,1,0,0,0,0,3,2023
56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4,Single,21698,4,Y,5,1,1,40,0,37,3,2,6,4,0,2,intern,0,2,10745,2,1,0,0,0,0,2,2023
23,No,Travel_Rarely,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,9518,3,Y,13,3,3,40,1,3,3,3,0,0,0,0,direct_recruiting,1034,1,8484,2,2,1,0,0,0,2,2023
51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4,Married,18725,3,Y,25,4,2,40,2,10,4,3,4,2,0,3,intern,4494,4,8988,2,4,1,1,0,1,1,2023
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,117,3,Male,99,2,2,Healthcare Representative,4,Married,15830,1,Y,29,4,1,40,3,11,3,3,11,10,10,8,intern,3486,4,6972,2,4,1,1,1,1,2,2023
46,Yes,Travel_Rarely,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,Single,13596,1,Y,29,3,4,40,0,9,3,3,9,8,4,7,intern,2425,3,6063,1,4,1,1,0,1,1,2023
40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,14115,1,Y,12,4,4,40,1,22,3,2,22,3,11,11,intern,3670,3,7341,3,4,1,0,0,1,2,2023
51,No,Travel_Rarely,Sales,21,4,Marketing,1,120,3,Male,71,3,2,Sales Executive,4,Single,8423,0,Y,0,4,4,40,0,11,2,1,10,7,1,0,intern,541,5,7882,3,3,1,1,0,1,3,2024
30,No,Travel_Rarely,Sales,4,2,Medical,1,121,3,Female,63,2,2,Sales Executive,2,Divorced,19760,1,Y,46,2,2,40,3,11,4,2,11,8,2,7,intern,1674,2,5581,3,2,0,0,1,0,2,2023
46,No,Travel_Frequently,Research & Development,1,3,Medical,1,124,3,Male,40,2,3,Healthcare Representative,1,Married,3142,2,Y,12,2,3,40,1,21,5,2,10,9,9,5,intern,0,1,8744,2,4,1,0,0,1,2,2024
32,No,Travel_Rarely,Sales,6,4,Medical,1,125,2,Male,87,3,2,Sales Executive,3,Single,24301,1,Y,15,3,1,40,0,12,0,3,11,8,5,7,agent_A,2917,2,6143,3,2,1,0,0,0,2,2023
54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,126,1,Female,60,3,3,Research Director,3,Married,24001,9,Y,2,2,1,40,1,16,5,1,4,3,0,3,intern,2375,1,7917,3,1,0,0,0,0,2,2023
24,No,Travel_Rarely,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,17519,0,Y,12,3,1,40,1,4,2,2,3,2,0,2,agent_C,0,2,3465,4,1,0,0,1,0,4,2023
28,No,Non-Travel,Sales,4,3,Medical,1,129,2,Male,43,3,2,Sales Executive,3,Married,8863,1,Y,9,3,2,40,0,5,3,4,5,4,0,4,intern,0,4,6277,2,4,1,1,1,1,2,2024
58,No,Travel_Rarely,Sales,10,4,Medical,1,131,4,Male,37,3,4,Sales Executive,3,Single,24409,0,Y,23,2,3,40,0,38,1,2,37,10,1,8,intern,2371,2,7906,3,4,1,0,0,1,2,2023
44,No,Non-Travel,Research & Development,23,3,Medical,1,132,2,Male,67,3,2,Laboratory Technician,2,Married,25043,4,Y,27,2,3,40,1,17,3,4,3,2,1,2,intern,0,3,3701,4,1,0,0,0,1,4,2023
37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,1,133,3,Male,63,3,1,Human Resources,1,Divorced,23648,4,Y,6,4,4,40,0,7,3,3,3,2,0,2,direct_recruiting,0,2,8943,4,1,0,0,0,0,3,2023
32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,134,4,Male,71,3,1,Research Scientist,1,Single,15178,1,Y,0,2,4,40,0,1,2,3,1,0,0,0,intern,0,2,8409,2,2,1,0,1,0,1,2023
20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,19783,1,Y,20,3,2,40,0,1,5,3,1,0,1,0,intern,0,4,5473,1,4,1,1,0,1,1,2023
34,No,Travel_Rarely,Research & Development,6,4,Other,1,138,1,Female,41,3,2,Research Scientist,3,Single,12482,1,Y,1,3,3,40,0,16,3,3,16,13,2,10,intern,1695,2,3570,2,4,1,1,0,1,5,2023
37,No,Non-Travel,Research & Development,2,2,Life Sciences,1,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,15850,5,Y,0,3,4,40,1,17,2,4,1,0,0,0,intern,3671,4,7730,1,3,1,1,1,1,2,2023
59,No,Non-Travel,Human Resources,2,4,Human Resources,1,140,3,Female,32,2,5,Manager,4,Married,21922,9,Y,26,4,4,40,1,30,3,3,3,2,2,2,intern,0,5,8265,1,4,1,1,1,1,1,2023
50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,141,1,Female,73,3,5,Research Director,2,Married,9755,3,Y,8,4,1,40,0,28,1,2,8,3,0,7,intern,0,2,3352,3,1,0,0,0,0,3,2024
25,Yes,Travel_Rarely,Sales,5,3,Marketing,1,142,3,Male,46,2,2,Sales Executive,3,Single,26959,1,Y,14,1,4,40,0,6,1,3,6,4,0,3,agent_C,0,2,3749,4,2,1,0,0,0,3,2023
25,No,Travel_Rarely,Research & Development,7,1,Medical,1,143,4,Male,64,2,1,Research Scientist,4,Married,26897,1,Y,1,1,3,40,2,2,2,3,2,2,2,1,direct_recruiting,0,4,7672,2,4,1,1,1,1,2,2023
22,No,Travel_Rarely,Research & Development,15,3,Medical,1,144,2,Female,59,3,1,Laboratory Technician,4,Single,23785,1,Y,28,3,3,40,0,1,5,3,0,0,0,0,agent_A,3936,4,8287,3,1,0,0,0,0,3,2024
51,No,Travel_Frequently,Research & Development,1,4,Medical,1,145,1,Female,30,2,3,Healthcare Representative,1,Single,25796,3,Y,3,4,3,40,0,23,1,2,13,12,12,8,intern,2767,2,5534,2,4,1,0,0,1,3,2023
34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,147,1,Male,66,1,2,Laboratory Technician,3,Single,22887,1,Y,5,4,4,40,0,9,3,3,9,7,0,6,intern,0,3,10172,2,3,1,0,0,0,1,2024
54,No,Non-Travel,Human Resources,26,3,Human Resources,1,148,4,Female,30,4,4,Manager,4,Single,13871,2,Y,11,2,3,40,0,23,3,3,5,3,4,4,intern,0,4,2228,3,1,0,0,0,0,3,2023
